graphs,
mode,"graph"
types,"vertex, edge, vertex_set, edge_set, graph, integer, label"
tokens,"$point,$line"
patterns,"$complete, $bipartite, $bipartite_complete, $empty, $acyclic"
grammar-imports,"latin-alphabet"
grammatical-complexity,type-3
rigorous,TRUE
facts,"$count_invariant"
fact-imports,NONE
tactics,"edge_add,edge_remove,edge_count,vertex_add,vertex_remove,vertex_count,join_graphs,remove_graph,constructive_omega_rule"
inferential-complexity,0
accessible-facts,TRUE
accessible-tactics,TRUE
accessible-grammatical-constructors,TRUE
physical-dimension-use,"X:{grammatical;inferential},Y:{grammatical;inferential},colour:{}"
grammatical-dimensionality,2
grammatical-granularity,discrete
mean-branching-factor,\infty
pr-distinct-state-change,high
pr-valid-state-change,high
mean-solution-depth,5
