token-+,tactic-stack_horizontal OR tactic-stack_vertical,0.9
token-*,tactic-stack_horizontal OR tactic-stack_vertical,0.8
token--,tactic-cut_horizontal OR tactic-cut_vertical OR tactic-cut_diagonal OR tactic-cut_ell OR tactic-cut_square,0.7
token-\div,tactic-cut_horizontal OR tactic-cut_vertical OR tactic-cut_diagonal,0.9
token-\sqrt,tactic-cut_horizontal OR tactic-cut_vertical,0.5
token-\sum,tactic-stack_horizontal OR tactic-stack_vertical,0.9
token-^,tactic-stack_horizontal OR tactic-stack_vertical,0.7
token-=,tactic-count_equal,1
token-1,token-$dot,1
type-integer,type-arrangement,0.9
