type-possibilities,token-node_degree,0.75
type-occurrence OR type-class,type-edge,1
token-universe OR token-all,type-treetrial_line,1
token-divided_by,tactic-measure_relative_length,0.25
token-union OR token-or,tactic-draw_or,0.75
token-intersection OR token-and,tactic-draw_and,0.75
token-probability,tactic-measure_relative_length,0.75
token-given OR token-if,tactic-draw_conditional,0.75
token-if AND (NOT token-given),tactic-focus_on_region,-0.25
token-equals,tactic-observe,0.5
fact-Bayes'-theorem,fact-scale-independence-of-ratio,1
fact-law-of-total-probability,fact-length-additivity,0.5
fact-De-Finetti-axiom,fact-scale-independence-of-ratio,1
fact-non-negative-probability,fact-non-negative-length,1
fact-sigma-additivity,fact-length-additivity,1
