geometric,
mode,"proportional"
types,"point,segment,line,polygon,region,real,label"
tokens,"$point : {type:= point}, $segment : {type:= segment}"
token_imports,"latin_alphabet"
patterns,"$rectangle:{holes:=[segment=>4]}, $shading : {holes:= [region=>1]}, $section :{holes:=[region=>2]}"
grammatical_complexity,type-3
rigorous,TRUE
facts,"$scale_independence_of_ratio,$area_additivity,$non_negative_area"
fact_imports,NONE
tactics,"draw_point,draw_line,draw_segment,draw_polygon,delete,distinguish,join,distance,area,change_label,compare_sizes,focus_on_region"
inferential_complexity,1
physical_dimension_use,"X:{grammatical;dense;metric;topological}, Y:{grammatical;dense;metric;topological}, colour:{}"
