type-real,type-outcome_segment,0.75
type-event,type-trial_line OR type-outcome_segment,0.1
token-\emptyset,token-empty_segment,0.5
token-\Omega,type-trial_line,1
token-\mid,tactic-measure_relative_length,0.75
token-\div,tactic-measure_relative_length,0.25
token-\cup,tactic-draw_or,1
token-\cap,tactic-draw_and,1
token-\Pr,tactic-measure_relative_length,1
token-=,tactic-compare_sizes,0.5
law-$Bayes'_theorem,law-$scale_independence_of_ratio,1
law-$law_of_total_probability OR law-$sigma_additivity,law-$length_additivity,1
law-$non-negative_probability,law-$non-negative_length,1
