type-occurrence OR type-class,type-event,1
token-none OR token-empty OR token-impossible,token-\emptyset,1
token-universe OR token-all OR token-necessary OR pattern-probability_space,token-\Omega,1
token-plus,token-\cup,0.25
token-minus,token-\setminus,0.25
token-union OR token-or,token-\cup,1
token-intersection OR token-and,token-\cap,1
token-complement OR token-not OR pattern-binary_choice,token-\bar,1
token-probability OR pattern-probability,token-\Pr,1
token-given OR token-if,token-\mid,1
tactic-arithmetic_calculation,tactic-calc,0.75
pattern-class_ratio OR pattern-sequential_events OR pattern-conditional_probability,token-\Pr:{type:=event*event->real},1
type-N,type-event,0.25
type-V,type-event,0.25
type-ADJ,type-event,0.25
